00;000;PABL;Buckland, Buckland Airport;AK;United States;4;65-58-56N;161-09-07W;;;7;;
02;620;----;Torup;;Sweden;6;56-58N;013-06E;;;85;;
02;625;----;Skillinge;;Sweden;6;55-29N;014-19E;;;4;5;
02;626;----;Osby;;Sweden;6;56-22N;013-57E;;;83;85;P
02;627;----;Lund Lth;;Sweden;6;55-43N;013-13E;;;73;;
02;628;----;Hano;;Sweden;6;56-01N;014-51E;;;60;0;
02;630;ESDA;Ljungbyhed, Ljungbyhed, SWE-AFB;;Sweden;6;56-05-07N;013-12-26E;;;52;52;P
02;635;----;Malmo;;Sweden;6;55-35N;013-01E;;;13;;
02;636;ESMS;Malmo / Sturup;;Sweden;6;55-33N;013-22E;;;106;;
02;641;ESMX;Vaxjo;;Sweden;6;56-51N;014-50E;;;199;200;
02;644;----;Olands Sodra Udde;;Sweden;6;56-12N;016-24E;;;2;3;
02;651;ESMK;Kristianstad / Everod;;Sweden;6;55-55N;014-05E;;;23;;
02;664;ESDF;Ronneby;;Sweden;6;56-16N;015-17E;;;58;74;P
02;666;----;Ungskar;;Sweden;6;56-02N;015-48E;;;3;;
02;668;----;Kungsholms Fort;;Sweden;6;56-04N;015-35E;;;5;;
02;670;----;Kalmar Flygplats;;Sweden;6;56-41N;016-18E;;;6;17;
